venue,ground,city,country
"McLean Park, Napier",McLean Park,Napier,New Zealand
"Kensington Oval, Bridgetown, Barbados",Kensington Oval,Bridgetown,Barbados
"Nahar Singh Stadium, Faridabad",Nahar Singh Stadium,Faridabad,India
Buffalo Park,Buffalo Park,East London,South Africa
"Sardar Patel (Gujarat) Stadium, Motera",Narendra Modi Stadium,Ahmedabad,India
"Sportpark Maarschalkerweerd, Utrecht",Sportpark Maarschalkerweerd,Utrecht,Netherlands
Marsa Sports Club,Marsa Sports Club,Marsa,Malta
Gucherre Cricket Ground,Gucherre Cricket Ground,Unknown,Unknown
Sheikhupura Stadium,Sheikhupura Stadium,Sheikhupura,Pakistan
Stellenbosch University 1,Stellenbosch University 1,Stellenbosch,South Africa
Clontarf Cricket Club Ground,Clontarf Cricket Club Ground,Dublin,Ireland
"Civil Service Cricket Club, Stormont",Civil Service Cricket Club,Belfast,Northern Ireland
Marrara Cricket Ground,Marrara Cricket Ground,Darwin,Australia
Alur Cricket Stadium III,Alur Cricket Stadium III,Bangalore,India
T I Murugappa Ground,T I Murugappa Ground,Chennai,India
"Narendra Modi Stadium Ground 'A', Motera",Narendra Modi Stadium Ground 'A',Ahmedabad,India
Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India
"Queen's Park, Invercargill",Queen's Park,Invercargill,New Zealand
"Narendra Modi Stadium, Ahmedabad",Narendra Modi Stadium,Ahmedabad,India
Aigburth,Aigburth,Liverpool,England
"Seddon Park, Hamilton",Seddon Park,Hamilton,New Zealand
Botswana Cricket Association Oval 2,Botswana Cricket Association Oval 2,Gaborone,Botswana
West Park Oval,West Park Oval,Burnie,Australia
Merchant Taylors' School Ground,Merchant Taylors' School Ground,Northwood,England
Singapore Cricket Club,Singapore Cricket Club,Singapore,Singapore
Castle Park Cricket Ground,Castle Park Cricket Ground,Colchester,England
"Cricket Field Road Ground, Horsham",Cricket Field Road Ground,Horsham,England
Integrated Polytechnic Regional Centre,Integrated Polytechnic Regional Centre,Kigali,Rwanda
"Manuka Oval, Canberra",Manuka Oval,Canberra,Australia
"John Davies Oval, Queenstown",John Davies Oval,Queenstown,New Zealand
Stadium Australia,Stadium Australia,Sydney,Australia
"Chevrolet Park, Bloemfontein",Chevrolet Park,Bloemfontein,South Africa
Kyambogo Cricket Oval,Kyambogo Cricket Oval,Kampala,Uganda
"Choice Moosa Stadium, Pearland",Choice Moosa Stadium,Pearland,USA
"Royal Brussels Cricket Club Ground, Waterloo",Royal Brussels Cricket Club Ground,Waterloo,Belgium
"Sportpark Westvliet, Voorburg",Sportpark Westvliet,Voorburg,Netherlands
ICC Academy Oval 1,ICC Academy Oval 1,Dubai,UAE
Abu Dhabi Oval 2,Abu Dhabi Oval 2,Abu Dhabi,UAE
Sylhet Stadium,Sylhet Stadium,Sylhet,Bangladesh
"Clontarf Cricket Club Ground, Dublin",Clontarf Cricket Club Ground,Dublin,Ireland
Ruaraka Sports Club Ground,Ruaraka Sports Club Ground,Nairobi,Kenya
Lalabhai Contractor Stadium,Lalbhai Contractor Stadium,Surat,India
"Bready Cricket Club, Magheramason",Bready Cricket Club Ground,Magheramason,Northern Ireland
"Queen's Park Oval, Trinidad",Queen's Park Oval,Port of Spain,Trinidad and Tobago
"White Hill Field, Sandys Parish",White Hill Field,Sandys Parish,Bermuda
Bermuda National Stadium,Bermuda National Sports Centre,Devonshire,Bermuda
"YSD-UKM Cricket Oval, Bangi",YSD-UKM Cricket Oval,Bangi,Malaysia
"Amini Park, Port Moresby",Amini Park,Port Moresby,Papua New Guinea
"Malahide, Dublin",The Village,Malahide,Ireland
Vanuatu Cricket Ground,Vanuatu Cricket Ground,Port Vila,Vanuatu
Louth Cricket Club,Louth Cricket Club,Louth,England
Morodok Techo National Stadium,Morodok Techo National Stadium,Phnom Penh,Cambodia
"St Albans Club, Buenos Aires",St Albans Club,Buenos Aires,Argentina
"Cricket Central, Sydney",Cricket Central,Sydney,Australia
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Maharaja Yadavindra Singh International Cricket Stadium,Mullanpur,India
"7he Sevens Stadium, Dubai",The Sevens Stadium,Dubai,UAE
Cricket Field Lane,Cricket Field Lane,Horsham,England
St  Pauls college ground  Kalamassery,St Pauls College Ground,Kalamassery,India
"Maple Leaf North-West Ground, King City",Maple Leaf North-West Ground,King City,Canada
"Sylhet International Cricket Stadium, Academy Ground","Sylhet International Cricket Stadium, Academy Ground",Sylhet,Bangladesh
"Jubilee Park, Ringwood, Melbourne",Jubilee Park,Melbourne,Australia
Khettarama Stadium,R. Premadasa Stadium,Colombo,Sri Lanka
"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Captain Roop Singh Stadium,Gwalior,India
"Dr DY Patil Sports Academy, Navi Mumbai",Dr DY Patil Sports Academy,Mumbai,India
"KSCA Cricket Ground, Alur",KSCA Cricket Ground,Bangalore,India
"Kotambi Stadium, Vadodara",Kotambi Stadium,Vadodara,India
"St George's College Ground, Buenos Aires",St George's College Ground,Buenos Aires,Argentina
